template_name,subject,body,sms_body
educational_day_2,When the FCA found out you we're being overcharged!,"In 2019, the FCA uncovered widespread issues in the motor finance industry, revealing how hidden commissions had inflated costs for customers. This investigation highlighted practices that led many to unknowingly pay more for their car finance agreements.

The FCA Investigation

The FCA’s investigation revealed:

- Inflated Interest Rates: Brokers often increased interest rates to earn larger commissions, significantly raising costs for customers.

- Lack of Transparency: Key details about these commissions were hidden behind vague terms like, “We may receive a commission.”

- Inadequate Affordability Checks: In some cases, lenders failed to properly assess whether customers could afford the agreements, prioritizing profits over fairness.

What Changed?

In January 2021, the FCA banned discretionary commission agreements (DCAs) to put an end to these unfair practices. While this was a significant step forward, many customers had already overpaid on their agreements.

To address this, the FCA is developing a redress scheme aimed at helping affected customers recover the money they overpaid and holding lenders accountable for past practices.

What This Means for You

The FCA estimates that 99% of motor finance agreements involve some form of commission. If you financed a car in recent years, it’s possible that these unfair practices impacted you. On average, affected customers have been able to reclaim £2,148*, though this amount can vary based on the specifics of each agreement.

Understanding the Process

The FCA’s work ensures that lenders must now follow strict rules to prevent such issues in the future. However, identifying and addressing past unfair agreements often requires reviewing finance contracts in detail and understanding how commissions were structured.

If your agreement included hidden commissions, this could be your opportunity to recover what you overpaid and ensure fairness moving forward.



You can check the progress of your claim or reach out to us at any time through the portal below:

👉 [Check Your Claim Progress]

We’re here to ensure no detail is overlooked and no penny is left behind. Thank you for trusting us to assist you in reclaiming what’s rightfully yours.
",
`,Lenders are preparing your refunds,"In the past year, lenders have been setting aside billions of pounds to compensate customers for unfair car finance agreements. These provisions are a clear indication of the scale of the issue and the responsibility lenders are starting to take for past practices.

Why Have Lenders Set Aside So Much?

1. Regulatory Pressure: The FCA has been actively working to address hidden commissions and ensure fairness in the motor finance industry.

2. Anticipating Claims: With thousands of customers stepping forward, lenders are preparing for a significant wave of compensation claims.

3. Learning From History: The PPI scandal demonstrated the financial impact of consumer compensation. Lenders are now proactively setting aside funds to handle motor finance claims.

What This Means for You

Major lenders have already earmarked substantial amounts for compensation:

- Close Brothers: £165 million

- Santander UK: £285 million

- Black Horse (Lloyds Banking Group): £450 million

- Barclays: £90 million

- MotoNovo: Approximately £170 million

These funds exist to compensate customers who were overcharged due to hidden or discretionary commissions. If you financed a car, there’s a good chance your agreement was affected, and these provisions highlight the importance of reviewing your case.

You can check the progress of your claim or contact us at any time through the portal below:

[Check Your Claim Progress]

We’re here to ensure no detail is missed and that you receive the compensation you’re entitled to. Thank you for trusting us to assist you in this process.

",
educational_day_9,Understanding Hidden Commissions and Their Impact,"The FCA’s investigation into motor finance agreements has brought hidden commissions to light, exposing practices that left many customers paying more than necessary. Over the past year, these findings have highlighted the importance of fairness and transparency in the industry.

What Are Hidden Commissions?

Hidden commissions are fees paid to brokers or dealerships by lenders for arranging your car finance agreement. Instead of being clearly disclosed, these commissions were often hidden behind vague terms like, “We may receive a commission.”

This lack of transparency often resulted in higher interest rates for customers, as brokers prioritized their commission over securing the best deal for you.

Why Are Hidden Commissions a Problem?

1. Lack of Clarity: Customers weren’t given clear information about the commissions being charged, making it impossible to make informed decisions.

2. Unfair Costs: Brokers inflated interest rates to earn higher commissions, leaving you to cover the extra cost.

3. Breach of FCA Guidelines: The FCA requires financial products to be presented in a way that is clear, fair, and not misleading. Hidden commissions violated these principles, leading to unfair agreements.

What Changed?

In January 2021, the FCA banned discretionary commission agreements (DCAs) to put an end to these practices. However, the damage had already been done for many customers who overpaid on their agreements.

The FCA continues to work on measures to ensure transparency in the industry and to help affected customers reclaim what they overpaid.


 [Check Your Claim Progress]

We’re committed to supporting you every step of the way and ensuring you receive the compensation you’re entitled to.",
educational_day_12,"No Win, No Fee: How does it work?  💼","No win, no fee agreements are designed to make claiming compensation risk-free and straightforward. Over the past year, this structure has helped countless people pursue claims without worrying about upfront costs.

What Is a No Win, No Fee Agreement?

A no win, no fee agreement means that you won’t pay anything upfront. Instead, legal teams agree to take a percentage of your refund if your claim is successful. This ensures that you only pay when there’s a positive outcome.

If your claim isn’t successful, you won’t pay a penny, making the process risk-free. The only exception is if you choose to cancel your claim after work has already started, in which case there may be some fees involved.

How Are Fees Structured?

To ensure fairness and transparency, the fee structure for claims is regulated across the industry by the Financial Conduct Authority (FCA) and the Solicitors Regulation Authority (SRA). Here’s how it works:

[fee stucture]

This fixed structure ensures clarity for everyone involved.

What We're Doing for You?

At Resolve My Claim, we’re here to take the stress out of the claims process. Here’s how we’re working on your behalf:

Managing every aspect of your claim, from filing to negotiation.

Ensuring you understand every step of the process, with no hidden surprises.

Maximizing your compensation while keeping the process simple and transparent.

You can check the progress of your claim or reach out to us at any time through the portal below:

👉 [Check Your Claim Progress]

Thank you for trusting us to guide you through this process and help you reclaim what’s rightfully your",
educational_day_16,Thanks for trusting us with your claim!,"Choosing the right team to handle your claim is an important decision, and we want you to know why you’re in good hands with Resolve My Claim. Over the past year, we’ve worked tirelessly to ensure our clients get the best results, and here’s how we’re doing the same for you.

What Sets Us Apart?

1. Expert Knowledge: We specialize in uncovering hidden commissions and understanding the complexities of car finance agreements.

2. Thorough Investigations: We go beyond basic checks to ensure no agreement is missed, giving your claim the best chance of success.

3. Regulatory Compliance: Our process aligns with the latest guidelines set by the FCA and industry standards, so your claim is handled with accuracy and professionalism.

How We’re Supporting You

At Resolve My Claim, we’re here to make this process as seamless as possible. Here’s what we’re doing for you:

- Reviewing every detail of your car finance agreements to uncover any hidden commissions.

- Handling all communication with lenders to simplify the process and reduce stress for you.

- Keeping you updated on your claim’s progress, ensuring transparency every step of the way.

Check Your Claim Progress

You can track how your claim is progressing or reach out to us with any questions at any time through the portal below:

👉 [Check Your Claim Progress]

We’re committed to achieving the best outcome for you. Thank you for trusting Resolve My Claim to handle your case with care and expertise.",
educational_day_23,Understanding the FCA’s Redress Scheme and How It Helps You,"The Financial Conduct Authority (FCA) is introducing a redress scheme designed to help customers who were impacted by hidden commissions in car finance agreements. This initiative is a step toward fairness and accountability in the motor finance industry, and here’s what it means for you.

What Is a Redress Scheme?

A redress scheme is a structured process set up by the FCA to ensure affected customers are compensated for unfair practices. For motor finance, it focuses on recovering money overpaid due to hidden or discretionary commissions. This scheme compels lenders to:

1. Review Past Agreements: Lenders are required to identify agreements where customers were overcharged.

2. Provide Compensation: Customers impacted by unfair practices will receive refunds to correct the overpayments.

3. Improve Transparency: The scheme pushes for clearer communication to prevent such issues from occurring in the future.

Why Does This Matter?

The FCA estimates that 99% of motor finance agreements involve some form of commission. For many customers, this could mean thousands of pounds in compensation. On average, successful claims are worth £2,148*, though your refund may vary based on your specific agreement.

This redress scheme is about more than just refunds—it’s about holding lenders accountable and restoring fairness to the system.

How We’re Supporting You

At Resolve My Claim, we’re here to ensure you benefit fully from the FCA’s redress scheme. Here’s what we’re doing for you:

- Reviewing your agreements thoroughly to identify hidden commissions.

- Preparing your case to align with the requirements of the redress scheme.

- Managing communication with lenders to simplify the process for you.

You can check the progress of your claim or get in touch with us anytime through the portal below:

👉 [Check Your Claim Progress]

We’re committed to ensuring your case is handled with care and expertise, so you receive the compensation you’re entitled to. Thank you for trusting us to assist you in this process.

Compensation values are based on averages from real cases and may vary depending on your specific agreement.",
educational_day_28,"What Happens to people who don't claim in time? ","For many customers, hidden commissions have led to overpayments on car finance agreements—but what happens if you don’t take action? Here’s why it’s important to consider the cost of doing nothing.

A Potential Deadline to Keep in Mind

While the exact deadlines for motor finance claims have not yet been set, it’s worth noting that during the PPI claims scandal, billions of pounds went unclaimed because customers missed the deadline. In total, over £10 billion in PPI compensation was left unrecovered.

Don’t let history repeat itself—taking action now ensures your case is prepared and submitted well before any potential cut-off dates.

Delaying your claim could mean losing out. With lenders already preparing funds for compensation and regulatory deadlines approaching, it’s important to ensure your case is reviewed and submitted on time.

What’s at Stake?

Your Money: On average, claims for hidden commissions are worth £2,148*. That’s money that could be in your pocket, helping to ease your financial burden or pay for something important.

Missed Opportunities: With the FCA estimating that 99% of motor finance agreements involve commissions, there’s a high chance your agreement could be affected. Not pursuing your claim means potentially leaving behind what’s rightfully yours.

Accountability: Taking action isn’t just about compensation; it’s about holding lenders accountable for unfair practices. By claiming, you contribute to creating a fairer system for everyone.

The Value of Acting Now

Delaying your claim could mean losing out. With lenders already preparing funds for compensation and regulatory deadlines approaching, it’s important to ensure your case is reviewed and submitted on time.

Check your progress 24/7

You can check the progress of your claim or get in touch with us anytime through the portal below:

👉 [Check Your Claim Progress]

We’re committed to ensuring your case is handled with care and expertise, so you receive the compensation you’re entitled to. Thank you for trusting us to assist you in this process.

Compensation values are based on averages from real cases and may vary depending on your specific agreement.",
signature_5_mins,🚗 Start Your Claim with One Simple Step,"Hi {{firstName}},

Thank you for starting your car finance claim with us! To move forward, we just need your ✍️ signature—this allows us to take the next steps for you.

Why is your signature important?

✅ It authorizes us to act on your behalf and start your claim legally.
🔍 Once signed, we’ll run our Agreement Locator. This quick, secure process uses a SOFT credit check to find your lenders and agreement numbers. It only takes 30 seconds and ensures we can register your claim as soon as possible.
Click the link below to sign and let us handle the rest:
[Complete My Claim]

💬 Have questions or need help? Simply reply to this email, and our team will be happy to assist you.

Let’s get your claim moving today! 🚀","Hi {{firstName}} 👋

We just need your signature to move forward with your car finance claim.

Our Agreement Locator 🔍 will find your lenders in 30 seconds and get your claim registered ASAP.

Sign here: [Link]

Need help? Reply to this message!"
signature_day_1,Your Claim is Ready to Go 🚗,"Hi {{firstName}},

We noticed you haven’t signed to start your car finance claim yet. Once signed, we’ll use our Agreement Locator 🔍 to find your lenders and agreement numbers in just 30 seconds.

Your signature is quick, secure, and gets everything moving!

Sign here to continue: [Complete My Claim]

💬 Have questions? Simply reply to this email, and we’ll help you out!

Let’s get your claim moving today 🚀","Hi {{firstName}} 👋

We’re ready to start your claim! Just sign here ✍️ so we can find your lenders in 30 seconds: [Link]

Need help? Reply anytime!"
signature_day_3,"{{firstName}}, Don’t Let Your Claim Wait ✍️","Hi {{firstName}},

We’re excited to help you with your car finance claim, but we can’t move forward without your signature. 

Did you know?
🔍 Our Agreement Locator securely finds your lenders in just 30 seconds.
✅ Your signature ensures your claim is registered ASAP.
Sign here to continue: [Complete My Claim]

💬 Have questions? Just reply to this email!","Hi {{firstName}},

Your claim can’t start without your ✍️ signature. It only takes a minute—sign here: [Link]"
